"index","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id.1","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"3431","CH","2016-08-13","85.6","-1.9659","5.9113","Aaron Judge","592450","542882","null","ball","","","","","14","null","R","R","R","NYY","TB","B","","null","0","0","2016","-0.3791083333","0.3705666667","0.739","1.442","","","","0","5","Bot","","","","","571912","","160813_144259","6.96","-124.371","-4.756","-2.821","23.634","-30.22","3.93","1.82","","","","84.459","1552","5.683","448611","542882","571912","543543","523253","446334","622110","545338","595281","543484","54.8144","0","0","","","","","","36","1"
"3432","CH","2016-08-13","87.6","-1.9318","5.9349","Aaron Judge","592450","542882","home_run","hit_into_play_score","","","","","4","Aaron Judge homers (1) on a fly ball to center field.","R","R","R","NYY","TB","X","","fly_ball","1","2","2016","-0.2956083333","0.3204","-0.419","3.273","","","","2","2","Bot","130.45","14.58","","","571912","","160813_135833","4.287","-127.452","-0.882","-1.972","24.694","-30.705","4.01","1.82","446","108.8","27.41","86.412","1947","5.691","448611","542882","571912","543543","523253","446334","622110","545338","595281","543484","54.8064","0.98","1.937","2","1","0","3","6","14","4"
"3433","CH","2016-08-13","87.2","-2.0285","5.8656","Aaron Judge","592450","542882","null","ball","","","","","14","null","R","R","R","NYY","TB","B","","null","0","2","2016","-0.668575","0.1985666667","0.561","0.96","","","","2","2","Bot","","","","","571912","","160813_135815","7.491","-126.665","-5.862","-6.393","21.952","-32.121","4.01","1.82","","","","86.368","1761","5.721","448611","542882","571912","543543","523253","446334","622110","545338","595281","543484","54.777","0","0","","","","","","14","3"
"3434","CU","2016-08-13","79.7","-1.7108","6.1926","Aaron Judge","592450","542882","null","foul","","","","","4","null","R","R","R","NYY","TB","S","","null","0","1","2016","0.3974416667","-0.6141333333","-0.803","2.742","","","","2","2","Bot","","","","","571912","","160813_135752","1.254","-116.062","0.439","5.184","21.328","-39.866","4.01","1.82","9","55.8","-24.973","77.723","2640","5.022","448611","542882","571912","543543","523253","446334","622110","545338","595281","543484","55.4756","0","0","","","","","1","14","2"
"3435","FF","2016-08-13","93.2","-1.8476","6.0063","Aaron Judge","592450","542882","null","called_strike","","","","","8","null","R","R","R","NYY","TB","S","","null","0","0","2016","-0.82305","1.6233","-0.273","2.471","","","","2","2","Bot","","","","","571912","","160813_135736","5.994","-135.497","-6.736","-9.36","26.782","-13.446","4.01","1.82","","","","92.696","2271","6.068","448611","542882","571912","543543","523253","446334","622110","545338","595281","543484","54.4299","0","0","","","","","","14","1"
