Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
2017-10-01 15:23:25,2017-10-01 15:26:26,31038,"Glebe Rd & 11th St N",31036,"George Mason Dr & Wilson Blvd",W20529,Member
2017-10-01 15:42:57,2017-10-01 17:49:59,31036,"George Mason Dr & Wilson Blvd",31036,"George Mason Dr & Wilson Blvd",W20529,Casual
2017-10-02 06:37:10,2017-10-02 06:42:53,31036,"George Mason Dr & Wilson Blvd",31037,"Ballston Metro / N Stuart & 9th St N",W20529,Member
2017-10-02 08:56:45,2017-10-02 09:18:03,31037,"Ballston Metro / N Stuart & 9th St N",31295,"Potomac & M St NW",W20529,Member
2017-10-02 18:23:48,2017-10-02 18:45:05,31295,"Potomac & M St NW",31230,"Metro Center / 12th & G St NW",W20529,Member
